text,abuse_type,severity,law
My husband beats me regularly,physical,high,Domestic Violence Act 2005
Someone abuses me on social media,online,high,IT Act Section 67
He kicked me during a dispute,physical,high,Domestic Violence Act 2005
My husband mentally harasses me,mental,medium,IPC 506
They humiliate me repeatedly,verbal,medium,IPC 504
My husband mentally harasses me,mental,high,Domestic Violence Act 2005
He uses bad language against me,verbal,low,IPC 504
I was physically assaulted by my spouse,physical,medium,IPC 323
He kicked me during a dispute,physical,high,IPC 323
Someone abuses me on social media,online,medium,IT Act Section 67
He pushed me and caused injury,physical,medium,IPC 323
My colleague abuses me verbally,verbal,low,IPC 504
I am being stalked online,online,medium,IPC 354D
I suffer mental cruelty at home,mental,high,IPC 498A
He kicked me during a dispute,physical,high,Domestic Violence Act 2005
Someone spreads rumors about me online,online,medium,IT Act Section 67
He controls all my decisions,mental,medium,IPC 506
They blackmail me through messages,online,medium,IPC 354D
I receive vulgar images online,online,medium,IPC 354D
They blackmail me through messages,online,high,IT Act Section 67
He pushed me and caused injury,physical,medium,IPC 323
He punched me during a fight,physical,high,Domestic Violence Act 2005
My colleague abuses me verbally,verbal,medium,IPC 504
I receive vulgar images online,online,medium,IT Act Section 67
They blackmail me through messages,online,high,IT Act Section 67
My husband mentally harasses me,mental,medium,IPC 506
He kicked me during a dispute,physical,medium,IPC 323
My partner hit me badly,physical,high,Domestic Violence Act 2005
They blackmail me through messages,online,medium,IPC 354D
He punched me during a fight,physical,medium,IPC 323
I receive vulgar images online,online,medium,IPC 354D
He uses bad language against me,verbal,medium,Domestic Violence Act 2005
They humiliate me repeatedly,verbal,low,IPC 504
Someone spreads rumors about me online,online,high,IT Act Section 67
Someone abuses me on social media,online,medium,IT Act Section 67
My boss shouts at me daily,verbal,medium,IPC 504
He kicked me during a dispute,physical,high,Domestic Violence Act 2005
He threatens to harm my family,mental,high,IPC 498A
Someone abuses me on social media,online,medium,IT Act Section 67
He kicked me during a dispute,physical,medium,IPC 323
I was physically assaulted by my spouse,physical,high,IPC 323
I was physically assaulted by my spouse,physical,medium,IPC 323
I was physically assaulted by my spouse,physical,medium,IPC 323
He punched me during a fight,physical,high,Domestic Violence Act 2005
Someone spreads rumors about me online,online,medium,IT Act Section 67
My in-laws torture me mentally,mental,high,IPC 498A
He pushed me and caused injury,physical,medium,IPC 323
I receive vulgar images online,online,medium,IT Act Section 67
I am verbally abused at work,verbal,medium,IPC 504
He insults me in front of others,verbal,medium,Domestic Violence Act 2005
I was physically assaulted by my spouse,physical,medium,IPC 323
He threatens to harm my family,mental,medium,IPC 506
My in-laws torture me mentally,mental,high,IPC 498A
My colleague abuses me verbally,verbal,medium,Domestic Violence Act 2005
He pushed me and caused injury,physical,medium,IPC 323
Someone abuses me on social media,online,high,IT Act Section 67
I am verbally abused at work,verbal,medium,IPC 504
He hit me with an object,physical,high,Domestic Violence Act 2005
I am being stalked online,online,high,IT Act Section 67
He kicked me during a dispute,physical,high,IPC 323
They humiliate me repeatedly,verbal,medium,IPC 504
He kicked me during a dispute,physical,medium,IPC 323
